file_name,dset_path,n_vec,vec_dim,dtype,sample_vec
LymphNode_HE_001.h5,/features,811,1024,float32,"-0.979,0.1279,-0.4697,2.106,2.237,1.38,-3.316,1.565,-0.2893,1.269"
LymphNode_HE_002.h5,/features,2288,1024,float32,"0.6091,0.04447,1.053,0.5824,1.386,0.344,-3.323,0.8011,0.7129,-0.6078"
LymphNode_HE_006.h5,/features,787,1024,float32,"-0.5897,-1.152,-1.849,0.5307,0.8961,1.107,0.179,1.301,0.6321,-0.4713"
LymphNode_HE_011.h5,/features,628,1024,float32,"-0.3471,-0.00714,-0.5126,0.4806,2.245,1.666,-1.075,1.502,0.7527,0.7863"
LymphNode_HE_012.h5,/features,1115,1024,float32,"0.2538,-0.05839,-0.5979,1.832,2.249,0.4095,0.2089,2.469,0.1745,0.6374"
LymphNode_HE_013.h5,/features,1285,1024,float32,"0.5865,0.4059,-0.8799,1.172,1.108,1.289,-1.567,1.172,0.5698,-0.08202"
LymphNode_HE_014.h5,/features,656,1024,float32,"-0.8078,-2.334,-0.7294,1.952,0.02931,2.031,-2.009,3.035,0.09432,0.08711"
LymphNode_HE_016.h5,/features,523,1024,float32,"0.4355,-1.167,-1.756,1.311,1.772,1.197,-1.786,1.572,-0.2002,-0.7797"
LymphNode_HE_017.h5,/features,969,1024,float32,"0.9279,0.6999,0.1121,-0.01446,1.174,-1.082,-2.14,2.204,0.3057,-0.349"
LymphNode_HE_018.h5,/features,3424,1024,float32,"1.457,0.3652,0.2603,-0.6466,0.3625,0.4511,0.1411,1.348,0.3228,0.2739"
LymphNode_HE_019.h5,/features,2272,1024,float32,"0.4768,2.696,-0.5247,-0.3887,-0.1494,0.9205,-0.009777,0.9542,-2.623,0.3239"
LymphNode_HE_020.h5,/features,692,1024,float32,"2.064,0.8971,-1.012,1.495,-0.0952,0.7593,0.4284,3.496,0.04608,1.028"
LymphNode_HE_021.h5,/features,1028,1024,float32,"0.445,-0.5616,-0.3701,0.756,1.994,1.136,-1.15,1.018,0.1856,0.06082"
LymphNode_HE_024.h5,/features,896,1024,float32,"0.5324,-0.8915,-2.431,1.444,1.411,1.074,-1.62,3.417,0.8192,0.1692"
LymphNode_HE_027.h5,/features,774,1024,float32,"0.4338,0.07778,-0.8491,0.9219,1.302,3.195,-0.5315,1.64,1.818,1.701"
LymphNode_HE_030.h5,/features,1041,1024,float32,"-0.0304,-2.119,-1.139,1.705,1.065,0.7409,-1.526,2.098,0.4839,0.408"
LymphNode_HE_034.h5,/features,1317,1024,float32,"-0.8534,0.3997,-1.055,2.721,1.697,2.09,-2.362,1.12,-0.1217,0.8089"
LymphNode_HE_037.h5,/features,1321,1024,float32,"-0.7175,-0.1777,-0.4172,1.581,2.059,0.2552,-1.12,0.9473,-0.6187,0.3254"
LymphNode_HE_038.h5,/features,1246,1024,float32,"2.646,0.4667,1.308,0.03358,1.417,0.4486,-0.02627,-1.239,-0.2549,-0.4895"
LymphNode_HE_039.h5,/features,416,1024,float32,"2.115,-0.03424,-1.593,0.1983,2.051,1.234,-2.003,2.153,-0.1061,0.6644"
LymphNode_HE_040.h5,/features,936,1024,float32,"-1.608,0.02792,-1.107,0.936,1.098,1.21,-1.956,0.7144,0.3031,0.3794"
LymphNode_HE_042.h5,/features,860,1024,float32,"1.394,-1.848,-2.223,1.509,0.7799,2.475,0.3421,2.784,0.632,0.5423"
LymphNode_HE_044.h5,/features,1396,1024,float32,"-0.122,1.622,-1.104,2.361,0.5888,2.027,-0.5099,2.173,0.817,-0.1448"
LymphNode_HE_046.h5,/features,2861,1024,float32,"-0.4952,0.07095,0.2179,-0.5487,-0.5426,-0.8925,-0.3651,2.661,-0.0008946,0.02073"
LymphNode_HE_047.h5,/features,1153,1024,float32,"0.1204,0.132,-0.9906,0.9287,0.04039,2.459,-0.6268,0.6748,1.257,0.4056"
LymphNode_HE_048.h5,/features,1085,1024,float32,"-0.4539,-0.1778,-2.087,0.3828,1.087,1.804,-0.5508,1.354,-0.09064,1.122"
LymphNode_HE_051.h5,/features,779,1024,float32,"0.7022,0.136,-1.361,-0.07648,1.56,0.1289,-1.715,1.019,-0.3936,0.8448"
LymphNode_HE_052.h5,/features,1252,1024,float32,"1.062,-0.6943,-1.634,0.8956,-0.1024,1.007,-2.355,1.61,0.3289,-0.6238"
LymphNode_HE_053.h5,/features,1226,1024,float32,"1.721,1.6,-1.059,1.696,-0.4933,1.22,-0.4987,0.2815,0.2188,0.3373"
LymphNode_HE_054.h5,/features,1169,1024,float32,"1.186,-0.8176,-0.3106,0.5004,1.228,0.9124,-1.016,1.281,0.5094,0.3561"
LymphNode_HE_059.h5,/features,988,1024,float32,"-0.2754,0.1102,-1.241,0.9476,0.5936,0.7933,-0.5802,1.493,1.041,0.4332"
LymphNode_HE_061.h5,/features,481,1024,float32,"0.7497,-0.04853,-0.8588,0.2217,2.301,0.5044,-0.8413,1.812,-0.5745,1.023"
LymphNode_HE_062.h5,/features,1161,1024,float32,"1.142,-1.25,-0.5387,2.265,1.718,2.693,-0.7144,0.5146,-0.4322,1.149"
LymphNode_HE_064.h5,/features,952,1024,float32,"3.165,0.08067,-2.054,0.536,0.2461,1.632,-1.349,1.525,0.006926,-0.4102"
LymphNode_HE_068.h5,/features,934,1024,float32,"3.587,-0.8234,-2.017,0.8712,-0.5617,1.14,-0.5581,1.83,2.013,-0.8114"
LymphNode_HE_071.h5,/features,607,1024,float32,"0.1641,0.5247,-2.46,1.042,0.7937,0.5272,1.102,2.429,0.03001,0.3046"
LymphNode_HE_072.h5,/features,1570,1024,float32,"0.315,0.3785,-0.942,0.834,-0.04013,0.2772,-0.6439,1.284,0.3133,-0.3379"
LymphNode_HE_073.h5,/features,1006,1024,float32,"-0.6666,0.3715,0.1774,1.304,2.302,0.1649,-3.345,1.873,1.596,1.875"
LymphNode_HE_077.h5,/features,437,1024,float32,"0.509,0.8721,-0.2849,1.12,1.39,1.901,1.782,1.579,0.3318,-0.3665"
LymphNode_HE_078.h5,/features,800,1024,float32,"-0.6519,-1.266,-0.3764,0.1718,0.8931,0.6308,-2.48,1.998,0.3643,0.9272"
LymphNode_HE_081.h5,/features,1275,1024,float32,"-0.4134,-1.308,-2.958,1.56,-0.3234,1.37,-0.5793,1.221,0.6211,-0.0179"
LymphNode_HE_083.h5,/features,1451,1024,float32,"-0.4439,0.5886,-0.21,0.6766,2.829,-0.5427,-2.349,1.328,0.3343,1.023"
LymphNode_HE_086.h5,/features,778,1024,float32,"0.8835,-1.972,-0.9386,0.5688,2.01,1.507,-1.557,1.29,0.388,-0.2334"
LymphNode_HE_087.h5,/features,2018,1024,float32,"-0.1016,-0.2376,-0.385,0.5507,-0.4025,-0.5599,-1.32,3.636,0.9697,-0.67"
LymphNode_HE_089.h5,/features,1054,1024,float32,"-0.02592,0.5873,-0.7209,0.9018,0.2235,1.4,-1.205,0.3733,0.7635,0.08197"
LymphNode_HE_090.h5,/features,1105,1024,float32,"-1.5,-0.6465,-0.1149,1.219,2.496,0.1305,-2.037,0.4707,-0.472,-0.04757"
LymphNode_HE_091.h5,/features,673,1024,float32,"-0.1407,1.967,0.7081,-0.3605,0.3508,1.688,0.2113,-0.3165,-1.624,2.778"
LymphNode_HE_094.h5,/features,2900,1024,float32,"-0.4951,1.307,0.7713,1.787,1.968,1.358,-1.132,1.775,0.7111,1.121"
LymphNode_HE_095.h5,/features,701,1024,float32,"1.476,-0.4182,-2.841,1.096,-0.4814,1.895,-0.5814,2.411,0.1463,-0.2412"
LymphNode_HE_096.h5,/features,2255,1024,float32,"-0.02439,1.033,0.5597,-0.2668,-1.752,-1.385,0.6741,2.19,-0.1542,0.647"
LymphNode_HE_101.h5,/features,649,1024,float32,"0.9143,1.314,0.4899,0.4627,1.513,1.238,-0.4245,-0.6396,-0.2769,1.278"
LymphNode_HE_102.h5,/features,2475,1024,float32,"0.3272,1.398,-0.9572,-0.06609,-0.2491,0.7557,0.04929,0.1714,-2.237,1.285"
