file_path,stain,array_key,shape,dtype
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,001,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,002,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,003,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,004,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,005,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,006,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,007,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,008,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,009,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,010,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,011,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,012,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,013,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,014,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,015,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,016,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,017,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,018,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,019,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,020,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,021,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,022,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,023,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,024,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,025,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,026,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,027,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,028,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,029,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,030,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,031,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,032,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,033,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,034,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,035,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,036,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,037,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,038,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,039,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,040,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,041,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,042,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,043,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,044,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,045,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,046,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,047,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,048,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,049,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,050,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,051,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,052,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,053,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,054,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,055,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,056,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,057,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,058,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,059,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,060,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,061,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,062,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,063,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,064,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,065,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,066,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,067,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,068,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,069,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,070,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,071,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,072,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,073,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,074,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,075,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,076,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,077,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,078,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,079,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,080,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,081,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,082,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,083,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,084,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,085,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,086,"(512,)",float32
/N/project/wsiclass/HANCOCK_MultimodalDataset/features/tma_tile_dtr_256_CD163.npz,CD163,087,"(512,)",float32
